@gt=  0.000000  | lt=  0.000000 | input=0.4911
@gt=1161334.386658  | lt=1161346.000000 | input=21.24
@gt=1161334.386658  | lt=1161346.000000 | input=13.7011
@gt=1161498.385010  | lt=1161510.000000 | input=0.4911
@gt=1161498.385010  | lt=1161510.000000 | input=0.4911
@gt=1182316.176849  | lt=1182328.000000 | input=11.6011
@gt=1182381.176178  | lt=1182393.000000 | input=8.03
@gt=1182447.175537  | lt=1182459.000000 | input=21.24
@gt=1182447.175537  | lt=1182459.000000 | input=13.7011
@gt=1182611.173889  | lt=1182623.000000 | input=0.4911
@gt=1182611.173889  | lt=1182623.000000 | input=0.4911
@gt=1203428.965698  | lt=1203441.000000 | input=11.6011
@gt=1203493.965057  | lt=1203506.000000 | input=8.03
@gt=1203559.964386  | lt=1203572.000000 | input=21.24
@gt=1203559.964386  | lt=1203572.000000 | input=13.7011
@gt=1203723.962769  | lt=1203736.000000 | input=0.4911
@gt=1203723.962769  | lt=1203736.000000 | input=0.4911
@gt=1224541.754578  | lt=1224554.000000 | input=11.6011
@gt=1224606.753937  | lt=1224619.000000 | input=8.03
@gt=1224672.753265  | lt=1224685.000000 | input=21.24
@gt=1224672.753265  | lt=1224685.000000 | input=13.7011
@gt=1224836.751617  | lt=1224849.000000 | input=0.4911
@gt=1224836.751617  | lt=1224849.000000 | input=0.4911
@gt=1245654.543457  | lt=1245667.000000 | input=11.6011
@gt=1245719.542816  | lt=1245732.000000 | input=8.03
@gt=1245785.542145  | lt=1245798.000000 | input=21.24
@gt=1245785.542145  | lt=1245798.000000 | input=13.7011
@gt=1245949.540497  | lt=1245962.000000 | input=0.4911
@gt=1245949.540497  | lt=1245962.000000 | input=0.4911
@gt=1266767.332336  | lt=1266780.000000 | input=11.6011
@gt=1266832.331665  | lt=1266845.000000 | input=8.03
@gt=1266898.331024  | lt=1266911.000000 | input=21.24
@gt=1266898.331024  | lt=1266911.000000 | input=13.7011
@gt=1267062.329376  | lt=1267075.000000 | input=0.4911
@gt=1267062.329376  | lt=1267075.000000 | input=0.4911
@gt=1287880.121185  | lt=1287893.000000 | input=11.6011
@gt=1287945.120544  | lt=1287958.000000 | input=8.03
@gt=1288011.119904  | lt=1288024.000000 | input=21.24
@gt=1288011.119904  | lt=1288024.000000 | input=13.7011
